chr1	205	0.00
chr1	204	0.00
chr1	203	0.00
chr1	202	0.00
chr1	201	0.00
chr1	200	0.00
chr1	199	0.00
chr1	198	0.00
chr1	197	0.00
chr1	196	0.00
chr1	195	0.00
chr1	194	0.00
chr1	193	0.01
chr1	192	0.01
chr1	191	0.01
chr1	190	0.01
chr1	189	0.01
chr1	188	0.01
chr1	187	0.01
chr1	186	0.01
chr1	185	0.01
chr1	184	0.01
chr1	183	0.01
chr1	182	0.01
chr1	181	0.01
chr1	180	0.02
chr1	179	0.02
chr1	178	0.02
chr1	177	0.02
chr1	176	0.02
chr1	175	0.02
chr1	174	0.02
chr1	173	0.02
chr1	172	0.02
chr1	171	0.02
chr1	170	0.02
chr1	169	0.03
chr1	168	0.03
chr1	167	0.03
chr1	166	0.03
chr1	165	0.03
chr1	164	0.03
chr1	163	0.03
chr1	162	0.03
chr1	161	0.03
chr1	160	0.03
chr1	159	0.04
chr1	158	0.04
chr1	157	0.04
chr1	156	0.04
chr1	155	0.04
chr1	154	0.04
chr1	153	0.04
chr1	152	0.04
chr1	151	0.04
chr1	150	0.04
chr1	149	0.05
chr1	148	0.05
chr1	147	0.05
chr1	146	0.05
chr1	145	0.05
chr1	144	0.05
chr1	143	0.05
chr1	142	0.05
chr1	141	0.06
chr1	140	0.06
chr1	139	0.06
chr1	138	0.06
chr1	137	0.06
chr1	136	0.06
chr1	135	0.06
chr1	134	0.07
chr1	133	0.07
chr1	132	0.07
chr1	131	0.07
chr1	130	0.07
chr1	129	0.07
chr1	128	0.08
chr1	127	0.08
chr1	126	0.08
chr1	125	0.08
chr1	124	0.08
chr1	123	0.08
chr1	122	0.09
chr1	121	0.09
chr1	120	0.09
chr1	119	0.09
chr1	118	0.09
chr1	117	0.09
chr1	116	0.10
chr1	115	0.10
chr1	114	0.10
chr1	113	0.10
chr1	112	0.10
chr1	111	0.11
chr1	110	0.11
chr1	109	0.11
chr1	108	0.11
chr1	107	0.12
chr1	106	0.12
chr1	105	0.12
